Questions,Category,Bloom Level
State the formula for the area of a circle,BT1,Remember
State the guidelines to design an anodic protection system,BT1,Remember
State the pattern for expressing time in French.,BT1,Remember
Compare Calliope with Howie. Use the word bank.,BT2,Understand
Compare historical events to contemporary situations,BT2,Understand
Complete an analogy (analogy tasks are inference tasks),BT2,Understand
Describe 4 types of coupling in software design.,BT2,Understand
Describe how Phillip and Timothy survived on the Cay.,BT2,Understand
Describe in prose what is shown in graph form.,BT2,Understand
Describe in your own words how to borrow a book from the library.,BT2,Understand
Describe in your own words how to copy text from one program into another.,BT2,Understand
Describe in your own words what happens when a stream's velocity slows.,BT2,Understand
Describe in your own words what is meant by a sprained ankle.,BT2,Understand
Describe nuclear transport to a lay person.,BT2,Understand
Describe the Pareto Principle in statistical software quality assurance.,BT2,Understand
Describe what goes in each of the four areas on the first page of notes,BT2,Understand
Describe what took place as the Hato was sinking.,BT2,Understand
Describe how the linear polarization method can yield corrosion rates,BT2,Understand
Describe the major clinical differences between visceral and somatic pain,BT2,Understand
Briefly describe the author's approach to the liabilities of the GOTO statement,BT2,Understand
Describe what happened at...?,BT2,Understand
Determine the authors point of view,BT2,Understand
Determine the next number in a sequence,BT2,Understand
Discuss the nature of socialism.,BT2,Understand
Explain how Timothy saved Phillip's life.,BT2,Understand
Explain in one's own words how to create a query in a database.,BT2,Understand
Explain in your own words what a recessive gene is.,BT2,Understand
Explain in your own words what do you mean by the term economics?,BT2,Understand
Explain in your own words what is meant by mercantilism.,BT2,Understand
Explain the causes of historical events,BT2,Understand
Explain the communicative property.,BT2,Understand
"Explain the double meaning the author attributes to the term ""successive action descriptions""",BT2,Understand
Explain the possible uses described in class for the space to the left of the vertical line.,BT2,Understand
Explain the process (paraphrase) for finding the perimeter of a rectangular garden,BT2,Understand
Explain what a poem means.,BT2,Understand
"Explain what the author means by the statement ""our intellectual powers are geared to master static relations.",BT2,Understand
Express your opinion of 'Drugs in Sport' through poetry.,BT2,Understand
From a blueprint to describe the article depicted.,BT2,Understand
"Given a graph of production trends in automobiles, describe what the graph represents in a memo to your boss.",BT2,Understand
"Given these five corrosion inhibitors, V, W, X, Y, Z, identify which are passivators  ",BT2,Understand
"Illustrate this caption: ""Olympic as a Media Event in the Information Society""",BT2,Understand
Illustrate what you think the main idea was.,BT2,Understand
In one sentence explain the main idea of a written passage.,BT2,Understand
In one sentence illustrate the main point of a written passage.,BT2,Understand
Interpret the pictures.,BT2,Understand
Outline in your own words how the Leggo's Tomato Paste advertisement sells their product.,BT2,Understand
Outline the most important insight of the tale.,BT2,Understand
Outline the mechanisms employed by bacteria allowing them to evade phagocytic destruction.,BT2,Understand
"Outline an ""attack plan"" that will allow you to test your hypothesis using computational molecular modeling tools",BT2,Understand
Paraphrase an important speech,BT2,Understand
Paraphrase what Hamlet is saying in his soliloquy.,BT2,Understand
Paraphrase the poem in your own words,BT2,Understand
"Paraphrase this poem about Sheik Schubli, explaining what he was saying about the characteristics of a friend",BT2,Understand
Describe the output of this program fragment:,BT2,Understand
Classify types of corrosion inhibitors  ,BT2,Understand
would you classify the zener diode in this circuit as a series voltage regulator or a shunt voltage regulator,BT2,Understand
"Classify the following protocols: IP, TCP, HTTP according to the ISO OSI classification",BT2,Understand
"Classify the following substances as particle, atom, element, molecule, compound",BT2,Understand
How would you classify the geographic location of your school,BT2,Understand
Classify animals into two groups.,BT2,Understand
Classify celebrations into family and community categories.,BT2,Understand
Classify frogs toads and other amphibians.,BT2,Understand
Restate main idea of story in own words.,BT2,Understand
Restate the Olympic motto in your own words.,BT2,Understand
Retell the story in your words.,BT2,Understand
Rewrite the principles of test writing.,BT2,Understand
Rewrite you predicted equation for the ideal gas law,BT2,Understand
Rewrite the markov matrix to account for this slight change.,BT2,Understand
"Rewrite the sentence in your head, following the direction given below",BT2,Understand
Rewrite a part in the poem using a different speaker,BT2,Understand
Select the best title for a passage,BT2,Understand
State in your own words the rule for balls and strikes in baseball.,BT2,Understand
State in your own words where in the library to find previous issues of journals that are no longer in the display racks.,BT2,Understand
Apply laws of statistics to evaluate the reliability of a written test.,BT3,Apply
Apply shading to produce depth in drawing.,BT3,Apply
Apply the rule of law to a new situation,BT3,Apply
Apply the storytelling technique here to a little story of your own.,BT3,Apply
Apply your understanding the Olympic spirit to develop a new motto or slogan.,BT3,Apply
Show the value of x after running this program fragment,BT3,Apply
Calculate for x in the following equation: 12x=36,BT3,Apply
Calculate the deflection of a beam under uniform loading.,BT3,Apply
Calculate the number of sacrificial anodes that would be required to form a calcareous deposit on a steel pile immersed in seawater. ,BT3,Apply
Calculate the rate of habitat fragmentation within the Colorado Front Range in the last decade.,BT3,Apply
Can you apply the method used to some experience of your own . . .?,BT3,Apply
Can you group by characteristics such as . . .?,BT3,Apply
Categorise the pictures and add them to the wall display.,BT3,Apply
Choose a country that does not compete at the Olympics and explain why that country is not an Olympic member.,BT3,Apply
Choose any U.S. president and explain how he exercised his power as Commander in Chief of the Armed Forces.,BT3,Apply
Compute the area of actual circles.,BT3,Apply
Compute the volume of a cylinder,BT3,Apply
Construct a model to demonstrate how it will work.,BT3,Apply
Demonstrate how the seasons occur.,BT3,Apply
Demonstrate how this could work in an industry setting?,BT3,Apply
Demonstrate using the OPAC and your knowledge of library organization to find a book about turtles.,BT3,Apply
Demonstrate how your units specific student learning outcomes are linked to the mission of UAM.,BT3,Apply
Derive a kinetic model from experimental data.,BT3,Apply
Describe an experiment to answer the question of the effects of weight on the fall of an object.,BT3,Apply
Construct a market strategy for your product using a known strategy as a model.,BT3,Apply
Construct a simple payroll program that computes net pay for those working 40 hours or less and net pay for those working over 40 hours.,BT3,Apply
"Draw 3 pictures showing the beginning, middle and ending of the story.",BT3,Apply
Draw a picture of the bears' house.,BT3,Apply
Draw a picture of the gown Cinderella wore to the ball.,BT3,Apply
"From the information given, can you develop a set of instructions about . . .?",BT3,Apply
How could someone modify the Cornell Method to make it effective for researching a topic for a paper?,BT3,Apply
How might lifestyles in the United States be modified if a more socialistic system were adopted?,BT3,Apply
"If notes are available on the professors website, how should those notes be used?",BT3,Apply
"In a teaching simulation with your peers role-playing 6th grade students, demonstrate the principle of reinforcement in classroom interactions and prepare a half page description of what happened during the simulation that validated the principle.",BT3,Apply
Make a diorama to illustrate an important event.,BT3,Apply
Make a paper-mache map to include relevant information about an event.,BT3,Apply
Make a scrapbook about the areas of study.,BT3,Apply
Make up a puzzle game using the ideas from the study area.,BT3,Apply
Model an Olympic Village for the new Millenium.,BT3,Apply
Participate in a mock election,BT3,Apply
Predict what happens to X if Y increases.,BT3,Apply
Pretend you are one of the characters in the book. Write a diary about the happenings in your life for two consecutive days.,BT3,Apply
Relate the principle of reinforcement to classroom interactions.,BT3,Apply
Relate topographic map to field features,BT3,Apply
Relate your most powerful story where your use of technology in the classroom has yielded a significant outcome with a student or students,BT3,Apply
How would you relate position concept with position strategy,BT3,Apply
"Show, through role-play, the final scene in the novel.",BT3,Apply
Solve a math problem using familiar procedure or formula,BT3,Apply
Solve for the ten following fraction multiplication problems. Please make sure to show all your work.,BT3,Apply
Would you solve these two problems using similar approaches,BT3,Apply
Use Laplace to solve the following problems,BT3,Apply
Can you solve the following problem ,BT3,Apply
How to specify the impact energy and impact test temperature of the material in the Code,BT3,Apply
How does one specify the syntactical restrictions,BT3,Apply
Specify a deterministic finite automaton (DFA) recognizing the,BT3,Apply
Take a collection of photographs to demonstrate a particular point.,BT3,Apply
Use a costing model to compute prices on goods to maximise profits and minimise costs.,BT3,Apply
Use a manual to calculate an employee's vacation time.,BT3,Apply
Use the distance travelled and cost of petrol to calculate the cost of a coach trip using a spreadsheet.,BT3,Apply
Use the rule for a semicolon in a sentence.,BT3,Apply
Who can use what we know about sonnets and finish this poem?,BT3,Apply
Would this information be useful if you had a . . .?,BT3,Apply
Sketch a prediction of the field lines for the arrangement of electrodes shown in Figure 2,BT3,Apply
Sketch the blackbody curves for radiation emitted from the Sun and the Earth,BT3,Apply
Sketch a typical absorption process in a packed column with regeneration in form of,BT3,Apply
sketch a graph of velocity versus time for the upward and downward parts of a balls flight,BT3,Apply
Analyze safe and dangerous aspects of these features.,BT4,Analyze
Analyze the characteristics of frogs.,BT4,Analyze
Analyze the movements and sounds of a frog.,BT4,Analyze
"Analyze the problem, identifying its variables.",BT4,Analyze
Break down the components of a standard film camera and explain how they interact to make the machine work.,BT4,Analyze
Break down the main actions of the story.,BT4,Analyze
"By comparing the map of the tectonic plates to the earthquake map, what inferences can you make?",BT4,Analyze
Can you compare your . . . with that presented in . . .?,BT4,Analyze
Can you distinguish between . . .?,BT4,Analyze
Can you explain what must have happened when . . .?,BT4,Analyze
Can you find four different feelings Pa Lia had during the story?,BT4,Analyze
Compare and contrast animals that the class has made.,BT4,Analyze
Compare and contrast our school to other communities.,BT4,Analyze
"Compare and contrast preview questions, clarifying questions and anticipated exam questions, including how each relates to the notetaking process?",BT4,Analyze
Compare and contrast the waterfall model with the prototyping model.,BT4,Analyze
Compare and contrast two characters in the book.,BT4,Analyze
Compare fall and spring,BT4,Analyze
Compare herbatious and carnivorous animals on a Venn diagram.,BT4,Analyze
Compare how different children come to school.,BT4,Analyze
Compare the place where the story happened with where you live.,BT4,Analyze
Compare this book to the last book you read.,BT4,Analyze
Compare three celebrations using a Venn diagram.,BT4,Analyze
Compare two dog food commercials. What is the difference between them and how do they both sell their products?,BT4,Analyze
Compare two of the characters in this book.,BT4,Analyze
Conduct an investigation to produce information to support a view.,BT4,Analyze
Contrast building in the coastal zone with building in a river floodplain.,BT4,Analyze
Contrast Olympic athletes of today with athletes of past Olympic games.,BT4,Analyze
Differentiate between .call by value and call by reference.,BT4,Analyze
Differentiate printf function calls for displaying prompts and for echoing data.,BT4,Analyze
Distinguish between micro and macro economics.,BT4,Analyze
Distinguish facts from hypotheses,BT4,Analyze
"Divide the story into initiating event, rising action, climax, and falling action",BT4,Analyze
"Examine what helps to make a good Olympics? Think about money, schedules, sports and people.",BT4,Analyze
"Explain the term conjugal families, by making reference to the different types of societies to which they could belong.",BT4,Analyze
analyze the positive and negative points presented concerning the abolition of guns and write a brief (2-3page) narrative of your analysis.,BT4,Analyze
"Differentiate the passages that attacked a political opponent personally, and those that attacked an opponent's political programs.",BT4,Analyze
How does your pet differ from other animals?,BT4,Analyze
How does...compare/contrast with...?,BT4,Analyze
How is . . . similar to . . .?,BT4,Analyze
How was life different in your town 100 years ago?,BT4,Analyze
How was this similar to . . .?,BT4,Analyze
How would this story be different if it had happened in a different country?,BT4,Analyze
How would you distinguish between polymyositis and viral myositis in a 42-year-old man with weakness and a rash?,BT4,Analyze
"If your story happened in a foreign land, compare that land to the United States.",BT4,Analyze
"If your story occurred long ago, compare that time with today in a good paragraph. If it was a modern story, compare it with a long time ago and tell what would be different.",BT4,Analyze
Investigate innovations that can enhance future Olympics.,BT4,Analyze
Make a diagnosis or analyze a case study.,BT4,Analyze
Select the athlete of the century and analyze why you chose this person.,BT4,Analyze
"If interest were compounded monthly instead of daily, what would the difference in interest be?",BT4,Analyze
What are the parts or features of...?,BT4,Analyze
Distinguish between the following giving suitable examples,BT4,Analyze
Distinguish between abstract date types (ADTs) and implementations of ADTs,BT4,Analyze
"How do you distinguish between the binge-eating/purging type of anorexia nervosa and bulimia nervosa, purging type",BT4,Analyze
How does Tdap differ from Td vaccine,BT4,Analyze
How does autonomy differ with age,BT4,Analyze
In what ways do female offenders differ from male offenders,BT4,Analyze
in what ways trajectory patterns differ according to ABC,BT4,Analyze
How do psychologists differ in their general attitudes toward third party presence,BT4,Analyze
How did Chinese newspapers differ from US,BT4,Analyze
How does public health reporting differ today from reporting two years before,BT4,Analyze
How does an endorsement differ from a teaching certificate,BT4,Analyze
How do we differentiate between genuine buyer and undercover buyer,BT4,Analyze
How do we differentiate between an interview and an interrogation?,BT4,Analyze
Differentiate between the following terms along with appropriate examples,BT4,Analyze
Differentiate the following functions using the quotient rule,BT4,Analyze
Can you differentiate between ethnic Chinese and ethnic Koreans,BT4,Analyze
How would you differentiate obstructive apneas from central apneas,BT4,Analyze
How would you differentiate a project from a program,BT4,Analyze
How is scientific progress similar to Darwinian evolution according to Kuhn,BT4,Analyze
"in what ways is oxyperoxidase similar to other oxygenated heme proteins, and how does it differ",BT4,Analyze
Apply and integrate several different strategies to solve a mathematical problem (not according to one formula(,BT6,Create
Can you create new and unusual uses for . . .?,BT6,Create
Can you design a . . . to . . .?,BT6,Create
Can you develop a proposal which would . . .?,BT6,Create
Can you invent another character for the story?,BT6,Create
Can you see a possible solution to . . .?,BT6,Create
Can you write a new recipe for a tasty dish?,BT6,Create
Choose a character. Rewrite a scene from the story from this character's point of view.,BT6,Create
Combine any two sports to develop a new Olympic sport.,BT6,Create
"Combine elements of drama, music, and dance into a stage presentation.",BT6,Create
Compose a class story.,BT6,Create
Compose a dialogue between Atticus Finch and Tom Robinson when they first met.,BT6,Create
Compose a rhythm or put new words to a known melody.,BT6,Create
Compose a simple rap or rhyme about zoo animals.,BT6,Create
Compose music for a frog play.,BT6,Create
Compose a complete C program that reads text strings from a text file into a suitable data,BT6,Create
Compose a device that would assist an athlete in their training.,BT6,Create
Compose an original work which incorporates five common materials in sculpture.,BT6,Create
Compose your own note-taking design that incorporates all theadvantages of the Cornell Method.,BT6,Create
Create a chart that compares things that use electricity and things that do NOT use electricity.,BT6,Create
Create a new product. Give it a name and plan a marketing campaign.,BT6,Create
"Create a new song for the opening line of ""Mary had a little lamb"".",BT6,Create
Create a set of guidelines to determine the points of a plant susceptible to localized corrosion.,BT6,Create
Create a storyboard for a sequel to your book. Use the same characters.,BT6,Create
Create an equation to represent the solution to this problem.,BT6,Create
Create and perform a play about frogs.,BT6,Create
Create plan of local environment by drawing around boxes.,BT6,Create
Design a building according to given specifications,BT6,Create
design a cost effective strategy to generate reliable data.,BT6,Create
Design a machine to perform a specific task.,BT6,Create
Design a new animal to live in the jungle.,BT6,Create
Design a poster for this book.,BT6,Create
Design a testing scenario to assess the susceptibility of an alloy to be used in a given environment?,BT6,Create
Design and make an animal that moves.,BT6,Create
Design costumes for the characters.,BT6,Create
Design the architecture of the software system based on the requirements defined in the Software Requirement Specification document,BT6,Create
Develop a hypothesis.,BT6,Create
Develop a plan for a new Olympic Bid System.,BT6,Create
Develop a SQA Plan for a software development project which is defined in the attached document.,BT6,Create
"Develop a way to teach the concept of ""adjectives"".",BT6,Create
Develop one plausible ending for all three short stories below.,BT6,Create
Devise a new economic system based on the ones that already exist.,BT6,Create
Devise plans to market or make artwork more valuable.,BT6,Create
Draw a painting that uses various principles of perspective to achieve its effect.,BT6,Create
"Explain how the biological concept of symbiotic relationships could be used to help solve socially created problems like water pollution, overflowing garbage landfills, or homelessness.",BT6,Create
Explain why it is likely that a matriarchal family system would be found in a matrilocal or matrilineal society.,BT6,Create
"Following the identification of the forms of corrosion that were involved in a failure, recommend a solution to avoid this failure?",BT6,Create
Given two opposing theories design an experiment to compare them.,BT6,Create
How could we determine the number of pennies in a jar without counting them?,BT6,Create
How could you re-write this story with a city setting?,BT6,Create
"how do the clauses and expressions given in the article which replace GOTO statements, lead to the three traditional control statements",BT6,Create
How many ways can you . . .?,BT6,Create
How would the U.S.A. be different if the South had won the Civil War?,BT6,Create
How would you change the story to create a different ending?,BT6,Create
How would you create/design a new...?,BT6,Create
How would you restructure the school day to reflect children's developmental needs?,BT6,Create
Identify one problem in the book and give an alternate solution one not given by the author.,BT6,Create
If you had access to all resources how would you deal with . . .?,BT6,Create
Integrate training from several sources to solve a problem.,BT6,Create
Invent a machine to do a specific task.,BT6,Create
Justify your choice of data structure.,BT6,Create
Make a radio announcement that advertise the book. Write it out.,BT6,Create
Make up a new language code and write material using it.,BT6,Create
Name one character. Rewrite the story from this character's point of view.,BT6,Create
Organize this book into three or more sections and give your own subtitle for each section.,BT6,Create
Plan a research paper on a given historical topic,BT6,Create
Predict the differences of a planet with no seasonal changes.,BT6,Create
Prepare a book jacket that illustrates the kind of book as well as the story.,BT6,Create
Pretend you are a librarian recommending this book to someone. Write a paragraph telling what  you would say.,BT6,Create
Revise and process to improve the outcome.,BT6,Create
"After designing an experiment, examining the results, and drawing conclusions, determines in what ways the experiment could be conducted more effectively in order to draw more productive conclusions in the future.",BT5,Evaluate
"After examining the videotape of a play in a football game, determine the degree to which the defensive team performed effectively and",BT5,Evaluate
"After solving a problem, determine the degree to which the problem was solved as efficiently as possible",BT5,Evaluate
Appraise data in support of a hypothesis.,BT5,Evaluate
Appraise the speech's effectiveness based upon the class' criteria.,BT5,Evaluate
Are there students who should not use the Cornell method?,BT5,Evaluate
Are you a . . . person?,BT5,Evaluate
Assess the appropriateness of an author's conclusions based on the evidence given.,BT5,Evaluate
Assess the importance of understanding seasonal patters.,BT5,Evaluate
Assess the relative effectiveness of different graphical representations of the same data or biological concept.,BT5,Evaluate
Assess the strengths and weaknesses of the current Olympics and recommend action that should be taken in future Olympics: What can be,BT5,Evaluate
"Award the contract to the best proposal. Rank the principles of ""good sportsmanship"" in order of importance to you.",BT5,Evaluate
Can you defend the idea that Simon's incident with the pig's head is the most mystical in the story?,BT5,Evaluate
Can you defend your position about . . .?,BT5,Evaluate
Choose a paint schedule for the maintenance of an outdoor structure? (level 2),BT5,Evaluate
Choose and illustrate the two most important events in the story.,BT5,Evaluate
Conclude and support which economic system leads to a higher standard of living.,BT5,Evaluate
Construct a poster that will advertise your new food product in an exciting and irresistible way.,BT5,Evaluate
Critique an experimental design or a research proposal.,BT5,Evaluate
"Critique the other student's (or your own) speech, based on the criteria we have studied this semester.",BT5,Evaluate
Decide whether you are in favor of building on a floodplain; defend your position in a debate.,BT5,Evaluate
Decide whether you could have survived on the island blind and alone. Write about things that would have been challenging making sure to,BT5,Evaluate
Decide whether you learned enough about electricity from this book.,BT5,Evaluate
Decide which candidate would best fill the position of principal.,BT5,Evaluate
Decide which course of action was most effective,BT5,Evaluate
Decide which method of solving a problem was most effective ,BT5,Evaluate
Defend the following claim: The Cornell method works so well that it could turn even a poor lecture into a valuable learning experience.,BT5,Evaluate
Defend your use of a specific strategy in solving the problem.,BT5,Evaluate
Describe the economic consequence of a neolocal society. Support your description with information you have learned from this course.,BT5,Evaluate
Design a healthy menu that you think most people would enjoy using the healthy eating guide.,BT5,Evaluate
Determine if a characters actions were heroic ,BT5,Evaluate
Do you agree...?,BT5,Evaluate
Do you think . . . is a good or a bad thing?,BT5,Evaluate
Establish criteria for making this choice and defend your final selection.,BT5,Evaluate
"Evaluate a work of art, giving the reasons for your evaluation.",BT5,Evaluate
Evaluate appropriate and inappropriate actions of characters.,BT5,Evaluate
Evaluate board games and justify why rules are important.,BT5,Evaluate
Evaluate the corrosion monitoring needs of a chemical processing plant ,BT5,Evaluate
Evaluate the level of galvanic coupling between two metals using basic kinetic information? (level 4) ,BT5,Evaluate
Evaluate two Internet sources of information about the Egyptians. Which would be a better choice for your purpose and why?,BT5,Evaluate
Evaluate whether their model is a true representation of the local environment.,BT5,Evaluate
Evaluate your own or a peer's essay in terms of the principles of composition discussed during the semester.,BT5,Evaluate
Examine the stated positions of both major political candidates with regard to a particular issue and state good reasons (based on principles discussed in class) for why one candidates position is more likely to be effective than the other's.,BT5,Evaluate
Explain and justify a new budget.,BT5,Evaluate
Explain choices made in making recommendations to an end user.,BT5,Evaluate
"Given an argument on any position, enumerate the logical fallacies in that argument.",BT5,Evaluate
"Given the data available on a research question, take a position and defend it.",BT5,Evaluate
"Given the data we've looked at on this topic, evaluate how appropriate this conclusion is and defend your answer.",BT5,Evaluate
"Given the two solutions to the stated programming problem, rate the solutions in  terms of efficiency and readability.",BT5,Evaluate
"Given three possible approaches to implement the defined system, discuss the possible advantages and disadvantages of each approach.",BT5,Evaluate
"Given two possible solutions, A and B, to solving the given software development problem, decide on the best solution. Give your justification.",BT5,Evaluate
How effective are . . .?,BT5,Evaluate
How would you decide about...?,BT5,Evaluate
How would you feel if . . .?,BT5,Evaluate
How would you have handled . . .?,BT5,Evaluate
"improved, reformed or rejected?",BT5,Evaluate
"In a given clinical situation, select the most reasonable intervention and predict the main effects and possible side effects.",BT5,Evaluate
Is there a better solution to . . .?,BT5,Evaluate
udge aesthetic qualities and relationship to future values.,BT5,Evaluate
judge the difficulty level for yourself.,BT5,Evaluate
Judge the value of . . .?,BT5,Evaluate
Judge whether it would be possible to survive on an island alone and blinded. Write about it.,BT5,Evaluate
Judge whether Olympic Ideals are realistic or unrealistic for the contemporary elite athlete.,BT5,Evaluate
Justify and nominate ways to prevent animal extinction.,BT5,Evaluate
Justify the title To Kill a Mockingbird .,BT5,Evaluate
Listen to two classmates conversing on tape and critique their performance on the basis of the skills covered this semester.,BT5,Evaluate
Place the following in order of priority...,BT5,Evaluate
Predict what will happen next in.,BT5,Evaluate
Predict whether Phillip will ever go back to visit the Cay after several years of recovery. Assuming he gets his sight back.,BT5,Evaluate
Recommend how our classroom or playground could be improved.,BT5,Evaluate
State the rule for balls and strikes in baseball.,BT1,Remember
State the rule for using a semicolon in a sentence.,BT1,Remember
What are major facts about particular cultures and societies,BT1,Remember
What are the major products and exports of countries,BT1,Remember
What are the representational symbols on maps and charts,BT1,Remember
What are the structure or functions of Congress,BT1,Remember
What are the units of corrosion penetration rates? Relate these to Faraday's law,BT1,Remember
What does ICT stands for,BT1,Remember
What is  your family name,BT1,Remember
What is a global variable?,BT1,Remember
What is a textual index,BT1,Remember
What is the setting of To Kill a Mockingbird?,BT1,Remember
What is the title of the first movie you saw,BT1,Remember
What season are we in right now?,BT1,Remember
when did saudi arabia start using internet,BT1,Remember
when did the first saudi radio station open,BT1,Remember
When did the second world war happen ,BT1,Remember
When did you born ?,BT1,Remember
when was the first airport in the yemen built,BT1,Remember
when was the UN formed,BT1,Remember
Which of the following is the method for determining the volume of a cylinder?,BT1,Remember
Which of the following item does not belong to the set ?,BT1,Remember
Which of the two liquids is hypotonic,BT1,Remember
which part of a data packet is used by a router to determine the destination network,BT1,Remember
Which technology is used by laser printer,BT1,Remember
Who is the first president   of USA,BT1,Remember
who is the founder of the kingdom of saudi Arabia,BT1,Remember
who was the first man on the moon,BT1,Remember
who was the first to compose in the arts of makamat,BT1,Remember
Who was the writer of the Hamilton,BT1,Remember
Can you state in your own words what the problem is asking you to do,BT2,Understand
State in your own words what the author means when he says,BT2,Understand
Summarize a historical document,BT2,Understand
Summarize a story in own words.,BT2,Understand
Summarize Jems beliefs about Boo Radley,BT2,Understand
Summarize the basic tenets of collaborative conservation.,BT2,Understand
Summarize the basic tenets of deconstructionism.,BT2,Understand
Summarize this magazine article.,BT2,Understand
Tell how Phillip kept himself alive after Timothy died.,BT2,Understand
Tell in your own words how the setting of the story made it more interesting.,BT2,Understand
Tell in your own words the beginning of the book.,BT2,Understand
"In your own words, tell what is meant by the definition of an isosceles triangle.",BT2,Understand
"In your own words, how would you define transferable skills",BT2,Understand
Translate a written text aloud from L2 to English.,BT2,Understand
Translate an equation into a computer spreadsheet.,BT2,Understand
Translate an equation into a spreadsheet formula.,BT2,Understand
Translate the following passage from The Iliad into English.,BT2,Understand
Use the E-pH or Pourbaix diagram of Cr to determine the control current and potential for the anodic protection of a S43000 stainless steel vessel.,BT2,Understand
"Compare and contrast two treatments of either drapery or animals by Greek sculptors, establishing their artistic contexts",BT2,Understand
"Briefly compare this way of testing the satisfiability of to the more standard way using SLD Resolution, as in Prolog",BT2,Understand
How would you compare SAS with the Visual Basic Application and SPSS for the processing and analysis of mainframe data,BT2,Understand
Describe and compare the role of Islamic law in the legal systems of Malaysia and Pakistan,BT2,Understand
Express the rule in function notation,BT2,Understand
Express the following systems in matrix form,BT2,Understand
Express the following percentages as fractions in simplest form,BT2,Understand
Explain the whole method of crushing,BT2,Understand
"In your own words, how would you summarize the story up",BT2,Understand
Summarize the main point of these two texts in your own words,BT2,Understand
Outline the aim of two studies within the,BT2,Understand
Outline your experience in working with service users,BT2,Understand
How do teenagers use code in emails and instant messages?,BT3,Apply
Use the second-derivative test to determine whether critical points where f0(x) = 0 yield relative maxima or relative minima,BT3,Apply
Use the unification algorithm to determine whether the following two terms are uni_able. Show intermediate step,BT3,Apply
Use tableau methods to prove that the following tableau is valid.,BT3,Apply
Use a sketch too find the exact value of each expression,BT3,Apply
Use Gauss Law to find the electric field between the plates when the charge on them is Q,BT3,Apply
What happens if you restrict a determinental process to a subset R  S? ,BT3,Apply
What would happen if the rainfall doubled in your state next year,BT3,Apply
What happens if you change the direction of the displacement (but not its size)?,BT3,Apply
What would you do if a heavy growth of bacteria had occurred,BT3,Apply
What would result if ,BT3,Apply
What approach would you use to prove the truth of the below statement,BT3,Apply
Construct one Turing Machine for computing each of the following functions,BT3,Apply
